exp,id,exp_type,condition,resp,correct_resp,correct,number_faces,validity,rt
1,0,witness,congruent,0,1,0,0,0.04600000000000004,0.794739999999991
1,0,witness,congruent,1,0,0,1,0.43700000000000006,1.10509999999998
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.705140000000014
1,0,witness,congruent,1,1,1,1,0.406,1.0171599999999699
1,0,witness,congruent,1,0,0,1,0.406,0.748619999999995
1,0,witness,congruent,0,0,1,1,0.30000000000000004,1.30835999999999
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.991380000000005
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.5280399999999791
1,0,witness,congruent,1,0,0,1,0,0.960280000000028
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.03667999999999
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.606320000000007
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.5823200000000069
1,0,witness,congruent,1,1,1,1,0.406,0.6368400000000259
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.470820000000007
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.9560800000000159
1,0,witness,congruent,0,0,1,0,0.41300000000000003,1.94178000000003
1,0,witness,congruent,1,1,1,1,0.406,NA
1,0,witness,congruent,1,1,1,0,0.41300000000000003,1.85476000000001
1,0,witness,congruent,1,1,1,2,0.31799999999999995,0.907619999999995
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.0375
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.659940000000002
1,0,witness,congruent,1,1,1,1,0.406,0.49076000000000897
1,0,witness,congruent,1,0,0,0,0.04600000000000004,0.551559999999998
1,0,witness,congruent,1,0,0,2,0.41300000000000003,0.8275999999999769
1,0,witness,congruent,0,0,1,1,0.43700000000000006,0.837619999999995
1,0,witness,congruent,1,1,1,1,0.406,0.7364199999999841
1,0,witness,congruent,1,0,0,2,0.41300000000000003,1.73576000000001
1,0,witness,congruent,1,1,1,1,0.406,0.5320399999999791
1,0,witness,congruent,1,0,0,2,0.22699999999999998,1.78056
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.977140000000014
1,0,witness,congruent,0,0,1,2,0.22699999999999998,1.2075800000000199
1,0,witness,congruent,0,0,1,2,0.41300000000000003,1.2121400000000102
1,0,witness,congruent,1,1,1,2,0.31799999999999995,0.743340000000026
1,0,witness,congruent,0,1,0,2,0.41300000000000003,1.77309999999998
1,0,witness,congruent,0,0,1,0,0.41300000000000003,0.676
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.7733800000000002
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.681700000000012
1,0,witness,congruent,1,1,1,0,0.41300000000000003,0.5220999999999769
1,0,witness,congruent,1,1,1,2,0.41300000000000003,1.44040000000002
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.784880000000005
1,0,witness,congruent,0,0,1,2,0.41300000000000003,0.8924600000000209
1,0,witness,congruent,0,0,1,1,0,1.9804000000000201
1,0,witness,congruent,0,0,1,1,0.43700000000000006,1.3801199999999998
1,0,witness,congruent,0,0,1,1,0.43700000000000006,2.4525
1,0,witness,congruent,0,0,1,0,0.04600000000000004,1.29578
1,0,witness,congruent,1,0,0,2,0.22699999999999998,1.8852
1,0,witness,congruent,0,1,0,2,0.22699999999999998,1.0748
1,0,witness,congruent,1,1,1,1,0.30000000000000004,0.82516
1,0,witness,congruent,1,1,1,1,0.406,0.7178800000000011
1,0,witness,congruent,1,0,0,2,0.41300000000000003,1.9203
1,0,witness,congruent,0,1,0,1,0.30000000000000004,1.2153399999999999
1,0,witness,congruent,1,1,1,2,0.41300000000000003,0.93932
1,0,witness,congruent,1,0,0,2,0.41300000000000003,2.16612
1,0,witness,congruent,1,0,0,1,0.30000000000000004,1.73096
